id,domain,label,ig_bytes,ig_ms,ig_exit,rtk_bytes,rtk_ms,rtk_exit,winner_bytes,winner_time
001,1-literal,common: 'function',13524,39,0,14277,37,0,ig,rtk
002,1-literal,common: 'TODO',5038,7,0,5035,25,0,rtk,ig
003,1-literal,common: 'import',15398,34,0,16244,36,0,ig,ig
004,1-literal,rare: 'iautos',15441,11,0,15047,27,0,rtk,ig
005,1-literal,two-word: 'export default',20056,11,0,19403,26,0,rtk,ig
006,1-literal,react: 'useState',14640,11,0,15479,27,0,ig,ig
007,1-literal,err: 'Exception',13146,12,0,13084,32,0,rtk,ig
008,1-literal,react: 'className',14284,23,0,12850,52,0,rtk,ig
009,1-literal,async function,15041,12,0,15369,28,0,ig,ig
010,1-literal,unicode 'é',13413,39,0,13803,181,0,ig,ig
011,2-regex,^import,18127,31,0,12693,34,0,rtk,ig
012,2-regex,[A-Z][a-z]+Error,14761,15,0,14479,27,0,rtk,ig
013,2-regex,(get|post|put),15666,40,0,12883,115,0,rtk,ig
014,2-regex,export.*function,14643,40,0,15320,31,0,ig,rtk
015,2-regex,vX.Y,4824,13,0,5729,28,0,ig,ig
016,2-regex,email,15183,80,0,14068,28,0,rtk,rtk
017,2-regex,url,15972,17,0,15716,36,0,rtk,ig
018,2-regex,const CONST =,14043,31,0,14526,28,0,ig,rtk
019,2-regex,api route,14604,11,0,14430,27,0,rtk,ig
020,2-regex,arrow fn,12125,30,0,11697,29,0,rtk,rtk
021,3-flags,-i 'todo',138,6,0,6051,28,0,ig,ig
022,3-flags,-l 'useState' (files only),14309,11,0,18,26,0,rtk,ig
023,3-flags,type ts 'interface',6686,8,0,6940,20,0,ig,ig
024,3-flags,type tsx 'return',9894,20,0,55,9,2,rtk,rtk
025,3-flags,-w 'id',15756,42,0,14653,183,0,rtk,ig
026,3-flags,-F 'const x =',311,6,0,317,25,0,ig,ig
027,3-flags,-C1 'export default',8257,12,0,17589,27,0,ig,ig
028,3-flags,-A2 'throw new',8666,10,0,17206,26,0,ig,ig
029,3-flags,-B1 'async',11593,17,0,14744,30,0,ig,ig
030,3-flags,glob *.json 'name',6993,11,0,10293,174,0,ig,ig
031,4-list,ls root,30,4,0,8,9,0,rtk,ig
032,4-list,ls apps,107,4,0,8,9,0,rtk,ig
033,4-list,ls apps/api,592,4,0,8,11,0,rtk,ig
034,4-list,ls apps/web,577,4,0,8,11,0,rtk,ig
035,4-list,ls apps/pwa-backoffice,287,4,0,8,10,0,rtk,ig
036,4-list,ls apps/chat,0,4,0,8,10,0,ig,ig
037,4-list,ls apps/packages,93,4,0,8,10,0,rtk,ig
038,4-list,files (flat listing),148,51,0,885,9,0,ig,rtk
039,4-list,files *.ts,105,38,0,40,9,0,rtk,rtk
040,4-list,files *.tsx,106,37,0,14,9,0,rtk,rtk
041,5-read,read #1 test_memleaks.py,18369,6,0,15411,8,0,rtk,ig
042,5-read,read #2 api-b2b-content.tsx,36874,6,0,30916,8,0,rtk,ig
043,5-read,read #3 proxy.ts,13293,5,0,11211,7,0,rtk,ig
044,5-read,read #4 rules.py,72406,8,0,62938,8,0,rtk,tie
045,5-read,read #5 __init__.py,15048,5,0,12462,8,0,rtk,ig
046,5-read,read #6 _elementwise.py,37942,6,0,33136,8,0,rtk,ig
047,5-read,read #7 protocol.py,73442,7,0,63632,7,0,rtk,tie
